"","SUBJ_ID","YA_Education"
"1","CC110019",3
"2","CC110033",NA
"3","CC110037",NA
"4","CC110038",5
"5","CC110045",6
"6","CC110056",7
"7","CC110059",NA
"8","CC110062",NA
"9","CC110063",3
"10","CC110069",6
"11","CC110086",NA
"12","CC110087",8
"13","CC110089",5
"14","CC110098",NA
"15","CC110101",NA
"16","CC110115",2
"17","CC110126",6
"18","CC110133",NA
"19","CC110165",6
"20","CC110174",7
"21","CC110177",NA
"22","CC110182",NA
"23","CC110187",6
"24","CC110192",NA
"25","CC110201",7
"26","CC110261",NA
"27","CC110319",6
"28","CC110338",NA
"29","CC110398",NA
"30","CC110409",6
"31","CC110411",7
"32","CC110417",NA
"33","CC110449",7
"34","CC110458",NA
"35","CC110474",NA
"36","CC110500",6
"37","CC110593",8
"38","CC110594",NA
"39","CC110606",2
"40","CC112049",NA
"41","CC112095",2
"42","CC112141",8
"43","CC112164",8
"44","CC112173",2
"45","CC120008",6
"46","CC120018",NA
"47","CC120038",NA
"48","CC120044",NA
"49","CC120048",6
"50","CC120049",7
"51","CC120061",3
"52","CC120065",7
"53","CC120072",8
"54","CC120075",NA
"55","CC120084",NA
"56","CC120089",6
"57","CC120109",8
"58","CC120111",NA
"59","CC120120",NA
"60","CC120123",NA
"61","CC120137",NA
"62","CC120141",NA
"63","CC120142",8
"64","CC120145",3
"65","CC120150",NA
"66","CC120151",NA
"67","CC120153",3
"68","CC120166",8
"69","CC120182",6
"70","CC120184",NA
"71","CC120197",NA
"72","CC120208",2
"73","CC120212",NA
"74","CC120218",6
"75","CC120222",NA
"76","CC120234",6
"77","CC120249",3
"78","CC120264",6
"79","CC120267",3
"80","CC120276",8
"81","CC120286",NA
"82","CC120309",NA
"83","CC120313",7
"84","CC120319",8
"85","CC120335",NA
"86","CC120347",3
"87","CC120349",7
"88","CC120376",3
"89","CC120400",3
"90","CC120409",3
"91","CC120410",6
"92","CC120415",NA
"93","CC120442",3
"94","CC120446",NA
"95","CC120462",2
"96","CC120469",6
"97","CC120470",8
"98","CC120494",3
"99","CC120496",6
"100","CC120535",NA
"101","CC120538",2
"102","CC120545",3
"103","CC120550",2
"104","CC120559",6
"105","CC120570",6
"106","CC120573",8
"107","CC120584",NA
"108","CC120640",6
"109","CC120644",3
"110","CC120662",2
"111","CC120672",NA
"112","CC120727",NA
"113","CC120741",3
"114","CC120764",6
"115","CC120774",6
"116","CC120778",2
"117","CC120795",6
"118","CC120813",3
"119","CC120816",NA
"120","CC120828",3
"121","CC120865",6
"122","CC120867",NA
"123","CC120908",NA
"124","CC120962",7
"125","CC120987",NA
"126","CC121035",NA
"127","CC121038",NA
"128","CC121055",NA
"129","CC121085",NA
"130","CC121106",NA
"131","CC121111",NA
"132","CC121144",6
"133","CC121151",6
"134","CC121158",7
"135","CC121183",NA
"136","CC121188",NA
"137","CC121194",NA
"138","CC121200",7
"139","CC121208",NA
"140","CC121283",2
"141","CC121317",7
"142","CC121321",3
"143","CC121338",NA
"144","CC121365",6
"145","CC121381",NA
"146","CC121397",6
"147","CC121411",7
"148","CC121416",NA
"149","CC121428",6
"150","CC121431",NA
"151","CC121442",NA
"152","CC121452",6
"153","CC121479",7
"154","CC121491",NA
"155","CC121493",NA
"156","CC121496",3
"157","CC121525",NA
"158","CC121527",6
"159","CC121602",7
"160","CC121604",NA
"161","CC121634",2
"162","CC121642",NA
"163","CC121685",NA
"164","CC121735",NA
"165","CC121795",6
"166","CC121841",6
"167","CC121850",NA
"168","CC121857",6
"169","CC121908",NA
"170","CC121916",3
"171","CC121929",8
"172","CC121962",NA
"173","CC122016",NA
"174","CC122028",NA
"175","CC122029",6
"176","CC122050",NA
"177","CC122059",NA
"178","CC122062",NA
"179","CC122103",NA
"180","CC122172",NA
"181","CC122272",6
"182","CC122279",NA
"183","CC122297",NA
"184","CC122309",6
"185","CC122368",NA
"186","CC122405",6
"187","CC122453",5
"188","CC122484",NA
"189","CC122542",NA
"190","CC122555",3
"191","CC122572",2
"192","CC122620",6
"193","CC122632",6
"194","CC122640",NA
"195","CC122801",NA
"196","CC122861",NA
"197","CC122887",6
"198","CC122921",NA
"199","CC123012",NA
"200","CC123030",NA
"201","CC123091",NA
"202","CC123142",NA
"203","CC123381",NA
"204","CC123611",3
"205","CC210003",NA
"206","CC210005",7
"207","CC210008",8
"208","CC210009",NA
"209","CC210023",NA
"210","CC210039",NA
"211","CC210041",NA
"212","CC210043",NA
"213","CC210051",6
"214","CC210055",NA
"215","CC210057",NA
"216","CC210088",6
"217","CC210092",7
"218","CC210124",6
"219","CC210132",6
"220","CC210142",7
"221","CC210148",2
"222","CC210162",NA
"223","CC210172",3
"224","CC210173",NA
"225","CC210174",NA
"226","CC210182",5
"227","CC210191",6
"228","CC210194",6
"229","CC210249",7
"230","CC210250",7
"231","CC210263",6
"232","CC210284",8
"233","CC210303",7
"234","CC210304",6
"235","CC210314",3
"236","CC210325",NA
"237","CC210327",NA
"238","CC210328",NA
"239","CC210349",NA
"240","CC210354",NA
"241","CC210357",NA
"242","CC210365",4
"243","CC210368",NA
"244","CC210369",NA
"245","CC210375",NA
"246","CC210402",6
"247","CC210405",NA
"248","CC210411",NA
"249","CC210422",6
"250","CC210441",8
"251","CC210446",NA
"252","CC210448",NA
"253","CC210455",NA
"254","CC210465",3
"255","CC210470",NA
"256","CC210483",7
"257","CC210500",NA
"258","CC210519",7
"259","CC210526",6
"260","CC210577",NA
"261","CC210592",8
"262","CC210601",8
"263","CC210607",8
"264","CC210615",6
"265","CC210617",6
"266","CC210626",NA
"267","CC210633",NA
"268","CC210647",NA
"269","CC210657",6
"270","CC210672",6
"271","CC210677",7
"272","CC212056",6
"273","CC212062",6
"274","CC212073",NA
"275","CC212119",5
"276","CC212153",8
"277","CC212208",8
"278","CC212228",NA
"279","CC220001",NA
"280","CC220005",6
"281","CC220011",8
"282","CC220012",8
"283","CC220014",NA
"284","CC220019",6
"285","CC220020",3
"286","CC220024",6
"287","CC220025",3
"288","CC220036",7
"289","CC220040",6
"290","CC220054",8
"291","CC220055",NA
"292","CC220082",NA
"293","CC220098",NA
"294","CC220105",3
"295","CC220107",8
"296","CC220115",8
"297","CC220120",6
"298","CC220123",NA
"299","CC220132",NA
"300","CC220137",NA
"301","CC220140",NA
"302","CC220151",8
"303","CC220155",NA
"304","CC220166",6
"305","CC220184",NA
"306","CC220198",NA
"307","CC220203",2
"308","CC220205",6
"309","CC220217",6
"310","CC220223",NA
"311","CC220232",8
"312","CC220234",4
"313","CC220236",NA
"314","CC220238",6
"315","CC220250",NA
"316","CC220283",NA
"317","CC220284",6
"318","CC220296",8
"319","CC220298",NA
"320","CC220300",NA
"321","CC220312",NA
"322","CC220317",6
"323","CC220318",NA
"324","CC220320",NA
"325","CC220323",6
"326","CC220335",6
"327","CC220352",8
"328","CC220355",8
"329","CC220362",2
"330","CC220366",6
"331","CC220371",NA
"332","CC220372",NA
"333","CC220381",7
"334","CC220384",NA
"335","CC220394",8
"336","CC220396",6
"337","CC220407",NA
"338","CC220419",8
"339","CC220421",7
"340","CC220423",4
"341","CC220424",NA
"342","CC220450",6
"343","CC220452",6
"344","CC220457",7
"345","CC220471",NA
"346","CC220476",6
"347","CC220503",NA
"348","CC220506",6
"349","CC220511",3
"350","CC220518",8
"351","CC220519",8
"352","CC220522",7
"353","CC220526",NA
"354","CC220535",3
"355","CC220553",NA
"356","CC220555",8
"357","CC220558",NA
"358","CC220566",NA
"359","CC220567",8
"360","CC220575",NA
"361","CC220591",6
"362","CC220597",8
"363","CC220608",NA
"364","CC220609",4
"365","CC220610",8
"366","CC220626",NA
"367","CC220627",NA
"368","CC220633",NA
"369","CC220635",8
"370","CC220645",NA
"371","CC220659",8
"372","CC220671",7
"373","CC220686",6
"374","CC220691",NA
"375","CC220697",8
"376","CC220704",NA
"377","CC220713",7
"378","CC220731",NA
"379","CC220752",3
"380","CC220781",8
"381","CC220797",8
"382","CC220806",7
"383","CC220828",6
"384","CC220833",7
