"","V1","V2","V3","V4","V5","V6","V7","V8"
"Visual 1",310.083615452611,1232.52153627368,1318.35750469009,11.6451537131522,-56.210471291842,349.326122168227,-413.318604142769,-518.735471267441
"Visual 2",659.325913482702,4869.71837982562,4739.6186202212,128.904274809681,-154.335204668196,911.641245591224,-1414.72094027885,-1932.45430852207
"SMN",1726.90183811587,4819.27165722967,715.232349462574,1788.89699306101,-573.513361552758,-1080.68989846168,-258.031175814308,-1772.4568459829
"CON",2677.33578336095,5421.32565391163,1131.90404472046,835.860861701464,-294.066715435905,-1110.55020740168,-502.187519597146,-1573.60921828561
"DAN",633.881115518628,2440.96494594824,915.13864038688,350.889258948751,-119.032534425461,-298.625168657707,-312.657707197775,-749.941817568662
"FPN",4191.83716447612,5582.25521749536,1720.52857556302,395.564296231198,-362.648079293883,-859.324432210326,-690.253539730134,-1529.45040192153
"DMN",5937.2640660442,8428.35494406283,2445.14501883171,303.598084740973,-272.627357817972,-1508.98813703353,-972.665592725418,-2112.45600774068
"PMM",168.891277703323,830.355445472375,434.795818451758,51.7290335831762,-34.8255107240263,-59.9925926312586,-129.31541365471,-251.756662103705
"Language",1046.88772986642,2422.89125062254,616.745620329394,97.135509906734,67.2273379406738,-548.240114082103,-249.140695794074,-588.558554376496
"Auditory",348.723312856864,1140.4192205643,292.922985792268,63.7474868059788,36.6330381871528,-263.765950994764,-109.086375660567,-278.044765287119
"VMM",598.15316899658,960.382571366384,314.476555992715,-14.3764360639673,24.5429479575787,-191.895971165824,-113.109494838793,-216.487599793368
"OA",330.192833889104,433.368309896295,81.5863523095671,21.9622243280071,-6.64139421718435,-106.38756912823,-39.7899496706519,-105.820951745793
